Fecha;turistas_miles
01/2019;20
02/2019;23
03/2019;26
04/2019;25
05/2019;23
06/2019;24
07/2019;27
08/2019;25
09/2019;19
10/2019;18
11/2019;20
12/2019;22
01/2020;22
02/2020;24
03/2020;11
04/2020;0
05/2020;0
06/2020;0
07/2020;0
08/2020;0
09/2020;1
10/2020;3
11/2020;4
12/2020;6
01/2021;4
02/2021;5
03/2021;7
04/2021;7
05/2021;7
06/2021;9
07/2021;13
08/2021;17
09/2021;14
10/2021;18
11/2021;17
12/2021;18
01/2022;15
02/2022;19
03/2022;25
04/2022;26
05/2022;23
06/2022;22
07/2022;27
08/2022;28
09/2022;20
10/2022;19
11/2022;21
12/2022;23
