prov_insc;cant_insc;parr_insc;fecha_mat;mcap_bie;dur_mat;cau_div;sexo_1;fecha_nac1;edad_1;p_etnica1;niv_inst1;sexo_2;fecha_nac2;edad_2;p_etnica2;niv_inst2
Santa Elena;Salinas;Salinas, cabecera cantonal;24/8/2013; No;7;Por mutuo consentimiento via judicial;Hombre;25/1/1951;70;Mulato; Secundaria;Mujer;25/2/1975;45;Montubio; Superior Universitario
Guayas;Milagro;Milagro, cabecera cantonal;5/3/2015; Sin informacion;4;Por mutuo consentimiento via judicial;Hombre;15/4/1985;35;Mestizo; Secundaria;Mujer;23/7/1991;29;Mestizo; Educacion media o Bachillerato
Pichincha;Quito;Calderon;4/7/2003; No;17;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;21/10/1969;52;Mestizo; Educacion Basica;Mujer;19/1/1975;46;Mestizo; Educacion Basica
Pichincha;Quito;Calderon;26/6/2009; No;11;Por mutuo consentimiento via judicial;Hombre;14/11/1974;47;Mestizo; Educacion media o Bachillerato;Mujer;1/10/1974;47;Mestizo; Superior Universitario
Imbabura;Otavalo;Jordan;2/3/2018; No;3;Por mutuo consentimiento via notarial;Hombre;22/1/2000;21;Indigena; Secundaria;Mujer;4/10/1998;22;Indigena; Secundaria
Carchi;Tulcan;Gonzalez Suarez;26/10/2018; No;2;Por mutuo consentimiento via notarial;Hombre;1/1/1999;22;Mestizo; Secundaria;Mujer;5/2/2000;21;Mestizo; Secundaria
Chimborazo;Riobamba;Lizarzaburu;23/5/2014; No;6;Por mutuo consentimiento via notarial;Hombre;9/2/1997;23;Mestizo; Secundaria;Mujer;17/2/1998;22;Mestizo; Secundaria
Imbabura;Otavalo;Jordan;8/3/2017; No;3;Los tratos crueles o violencia contra la mujer o miembros del nucleo familiar;Hombre;11/7/1993;27;Indigena; Primaria;Mujer;8/9/1998;22;Indigena; Secundaria
Imbabura;Otavalo;Jordan;4/4/2019; No;2;Por mutuo consentimiento via judicial;Hombre;5/8/1995;25;Mestizo; Secundaria;Mujer;26/1/1999;22;Mestizo; Secundaria
Tungurahua;San Pedro de Pelileo;Pelileo;26/9/2014; No;6;Por mutuo consentimiento via notarial;Hombre;19/9/1995;25;Mestizo; Primaria;Mujer;24/12/1999;21;Mestizo; Primaria
