mcap_bie2019;dur_mat2019;cau_div2019;sexo_1.2019;niv_inst1.2019;p_etnica1.2019;edad_1.2019;sexo_2.2019;p_etnica2.2019;niv_inst2.2019;edad_2.2019;mcap_bie2021;dur_mat2021;cau_div2021;sexo_1.2021;p_etnica1.2021;niv_inst1.2021;edad_1.2021;sexo_2.2021;p_etnica2.2021;niv_inst2.2021;edad_2.2021;mcap_bie2022;dur_mat2022;cau_div2022;sexo_1;p_etnica1.2022;niv_inst1.2022;edad_1.2022;sexo_2;p_etnica2.2022;niv_inst2.2022;edad_2.2022
No;6;Por mutuo consentimiento via notarial;Hombre; Secundaria;Mulato;36;Mujer;Montubio; Superior Universitario;29; No;7;Por mutuo consentimiento via judicial;Hombre;Sin información; Jardín de Infantes;70;Mujer;Mestizo; Primaria;45; No;17;Por mutuo consentimiento via notarial;Hombre;Mestizo; Superior Universitario;45;Mujer;Mestizo; Superior Universitario;40
No;20;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Secundaria;Mestizo;40;Hombre;Mestizo; Educacion media o Bachillerato;40; Sin informacion;4;Por mutuo consentimiento via judicial;Mujer;Mestizo; Educación media / Bachillerato;35;Hombre;Mestizo; Educación media / Bachillerato;29; No;14;Por mutuo consentimiento via judicial;Mujer;Mestizo; Secundaria;35;Hombre;Mestizo; Educación Básica;35
No;25;Por mutuo consentimiento via notarial;Hombre; Educacion Basica;Mestizo;52;Mujer;Mestizo; Educacion Basica;52; No;17;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mulato; Secundaria;52;Mujer;Montubio; Superior Universitario;46; Sin informacion;16;Por mutuo consentimiento via judicial;Mujer;Mestizo; Secundaria;52;Hombre;Mestizo; Secundaria;37
No;33;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Educacion media o Bachillerato;Mestizo;57;Hombre;Mestizo; Superior Universitario;50; No;11;Por mutuo consentimiento via judicial;Mujer;Mestizo; Secundaria;47;Mujer;Mestizo; Educación media / Bachillerato;47; Sin informacion;36;Las amenazas graves de un conyuge contra la vida del otro;Mujer;Mestizo;Ninguno;57;Hombre;Mestizo;Ninguno;60
No;14;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Secundaria;Indigena;56;Mujer;Indigena; Secundaria;55; No;3;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación Básica;21;Mujer;Mestizo; Educación Básica;22; No;9;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;29;Mujer;Mestizo; Educación media / Bachillerato;28
No;13;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Secundaria;Mestizo;35;Mujer;Mestizo; Secundaria;38; No;2;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;22;Hombre;Mestizo; Superior Universitario;21; No;31;Por mutuo consentimiento via judicial;Mujer;Mestizo; Educación Básica;50;Hombre;Mestizo; Educación Básica;54
No;14;Por mutuo consentimiento via judicial;Hombre; Secundaria;Mestizo;36;Hombre;Mestizo; Secundaria;34; No;6;Por mutuo consentimiento via notarial;Hombre;Montubio; Educación media / Bachillerato;23;Mujer;Blanco; Educación media / Bachillerato;22; No;9;Por mutuo consentimiento via judicial;Mujer;Mestizo; Superior no Universitario;28;Hombre;Mestizo; Educación media / Bachillerato;24
Sin informacion;13;Por mutuo consentimiento via judicial;Hombre; Primaria;Indigena;37;Mujer;Indigena; Secundaria;37; No;3;Los tratos crueles o violencia contra la mujer o miembros del nucleo familiar;Hombre;Mestizo; Educación Básica;27;Mujer;Sin información; Sin información;22; Sin informacion;17;Los tratos crueles o violencia contra la mujer o miembros del nucleo familiar;Hombre;Mestizo; Educación Básica;42;Mujer;Mestizo; Educación Básica;48
No;3;Por mutuo consentimiento via notarial;Hombre; Secundaria;Mestizo;31;Mujer;Mestizo; Secundaria;32; No;2;Por mutuo consentimiento via judicial;Hombre;Sin información; Sin información;25;Mujer;Mestizo; Superior no Universitario;22; Sin informacion;6;Por mutuo consentimiento via judicial;Hombre;Montubio; Educación Básica;31;Mujer;Mestizo; Educación Básica;38
No;37;Por mutuo consentimiento via judicial;Hombre; Primaria;Mestizo;59;Mujer;Mestizo; Primaria;64; No;6;Por mutuo consentimiento via notarial;Hombre;Sin información; Sin información;25;Hombre;Mestizo; Educación media / Bachillerato;21; No;15;El estado habitual de falta de armonia de las dos voluntades en la vida matrimonial;Hombre;Mestizo; Educación media / Bachillerato;34;Mujer;Mestizo; Educación media / Bachillerato;35
No;21;Por mutuo consentimiento via judicial;Hombre; Secundaria;Mestizo;44;Mujer;Mestizo; Secundaria;41; No;2;Por mutuo consentimiento via notarial;Mujer;Sin información; Sin información;30;Mujer;Mestizo; Educación media / Bachillerato;22; No;3;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;46;Mujer;Mestizo; Superior Universitario;30
No;4;Por mutuo consentimiento via notarial;Hombre; Educacion media o Bachillerato;Indigena;30;Hombre;Indigena; Secundaria;28; No;3;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Sin información; Sin información;25;Mujer;Mestizo; Educación media / Bachillerato;21; No;11;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Hombre;Indígena; Educación Básica;33;Mujer;Indígena; Educación media / Bachillerato;31
No;4;Por mutuo consentimiento via judicial;Hombre; Secundaria;Indigena;51;Mujer;Indigena; Secundaria;34; No;3;El adulterio de uno de los conyuges;Hombre;Montubio;Ninguno;24;Hombre;Mestizo; Educación media / Bachillerato;22; No;23;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Hombre;Mestizo; Educación Básica;48;Mujer;Mestizo; Educación Básica;66
No;4;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Primaria;Indigena;43;Mujer;Indigena; Secundaria;29; No;5;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Mujer;Mestizo; Educación media / Bachillerato;25;Hombre;Mestizo; Educación media / Bachillerato;22; No;16;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;36;Mujer;Mestizo; Educación media / Bachillerato;34
